"viljellä";"cultiver ";;"verbe"
"vilja";"céréale, grain";;"nom"
"vikkelä";"rapide, agile, preste";;"adjectif"
"vika";"erreur, défaut";;"nom"
"viivytellä";"traîner, être trop lent";;"verbe"
"viivoitin";"règle (outil)";;"nom"
"viiva";"ligne, trait";;"nom"
"viittomakieli";"langue des signes";;"nom"
"viittoa";"faire signe/parler en langue des signes";;"verbe"
"viittaa";"cape/panneau";;"nom"
"viitsiä";"avoir l'envie/l'énergie de faire qqch";;"verbe"
"viitata";"pointer une direction, faire un signe de la main";;"verbe"
"viisumi";"visa";;"nom"
"viisas";"sage, plein de sagesse";;"adjectif"
"viisari";"aiguille (horloge)";;"nom"
"viiri";"fanion, girouette";;"nom"
"viipale";"tranche";;"nom"
"viinirypäle";"raisin";;"nom"
"viininpunainen";"rouge vin";;"adjectif"
"viinimarja";"groseille, cassis";;"nom"
"viina";"liqueur, alcool fort";;"nom"
"viima";"vent fort";;"nom"
"viili";"produit laitier fermenté finnois";;"nom"
"viileä";"frais, frisquet";;"adjectif"
"viila";"lime";;"nom"
"viikset";"moustache";;"nom"
"viikonloppu";"week-end";;"nom"
"viikinki";"viking";;"nom"
"viihtyä";"se plaire, passer un bon moment";;"verbe"
"viihtyisä";"plaisant, agréable";;"adjectif"
"viihdyttää";"amuser, divertir";;"verbe"
"viidakko";"jungle";;"nom"
"vihta";"fouet de sauna (rameau de branches de bouleau)";;"nom"
"vihollinen";"ennemi";;"nom"
"vihreä";"vert";;"adjectif"
"vihloa";"percer, couper (douleur, son, ...)";;"verbe"
"vihko";"cahier, carnet";;"nom"
"vihkiäiset";"mariage (fête)";;"nom"
"vihkiä";"marier/inaugurer, introduire";;"verbe"
"vihje";"conseil, astuce, indice";;"nom"
"vihjata";"laisser entendre";;"verbe"
"viheltää";"siffler";;"verbe"
"vihata";"haïr, détester";;"verbe"
"vihannes";"légume";;"nom"
"vihainen";"en colère, énervé";;"adjectif"
"viesti";"message";;"nom"
"vieriä";"rouler";;"verbe"
"vierastaa";"être timide, effrayé ";;"verbe"
"vierashuone";"chambre d'amis";;"nom"
"vieras";"étranger, inconnu/invité";;"adjectif";"nom"
"vierailla";"rendre visite";;"verbe"
"viemäri";"égout";;"nom"
"viehättää";"charmer, fasciner";;"verbe"
"viehättävä";"charmant";;"adjectif"
"viedä";"emmener, ammener";;"verbe"
"videokamera";"caméra vidéo";;"nom"
"video";"vidéo";;"nom"
"vetää";"tirer/souffler (courant d'air)";;"verbe"
"veturi";"locomotive";;"nom"
"vetoketju";"fermeture éclaire";;"nom"
"vetelä";"liquide, aqueux";;"adjectif"
"vessa";"toilettes";;"nom"
"vesiväri";"aquarelle";;"nom"
"vesisänky";"lit à eau";;"nom"
"vesistö";"étendue d'eau (mer, lac, rivière, ...)";;"nom"
"vesiputous";"chute d'eau";;"nom"
"vesi";"eau";;"nom"
"veräjä";"portail, portillon";;"nom"
"verstas";"atelier";;"nom"
"verryttelypuku";"survêtement";;"nom"
"verrytellä";"s'échauffer";;"verbe"
"verrata";"comparer";;"verbe"
"vero";"impôt";;"nom"
"verkko";"filet, toile, réseau/Internet";;"nom"
"verisuoni";"veine, vaisseau sanguin";;"nom"
"veri";"sang";;"nom"
"verho";"rideau";;"nom"
"veranta";"véranda";;"nom"
"venyttää";"étirer, prolonger";;"verbe"
"ventovieras";"complètement inconnu";;"adjectif"
"vene";"bateau";;"nom"
